Sample description: 
Sample:   c= 0 mg/ml  Code: 
Parent(s): TipAS_1.96mgml-1_30degBack_sub_ave_cm-1.dat
  1.146921e-01   1.639742e-02   2.342423e-03
  1.274356e-01   1.971122e-02   1.682894e-03
  1.401790e-01   1.765396e-02   1.573732e-03
  1.529224e-01   1.535936e-02   1.357827e-03
  1.656658e-01   1.642574e-02   1.222642e-03
  1.784092e-01   1.320484e-02   1.191074e-03
  1.911525e-01   1.741585e-02   1.049813e-03
  2.038957e-01   1.465783e-02   1.053362e-03
  2.166390e-01   1.654625e-02   9.245143e-04
  2.293821e-01   1.529622e-02   9.011112e-04
  2.421253e-01   1.388895e-02   8.351031e-04
  2.548683e-01   1.685454e-02   7.969046e-04
  2.676113e-01   1.603948e-02   7.526087e-04
  2.803543e-01   1.508625e-02   6.881648e-04
  2.930972e-01   1.339253e-02   6.661362e-04
  3.058400e-01   1.400831e-02   6.136235e-04
  3.185828e-01   1.415790e-02   5.943801e-04
  3.313255e-01   1.223117e-02   5.523730e-04
  3.440681e-01   1.395734e-02   5.350367e-04
  3.568106e-01   1.314077e-02   5.271403e-04
  3.695531e-01   1.269799e-02   4.899237e-04
  3.822955e-01   1.158621e-02   4.766826e-04
  3.950378e-01   1.098994e-02   4.622872e-04
  4.077800e-01   1.134214e-02   4.424023e-04
  4.205221e-01   1.249107e-02   4.582456e-04
  4.332641e-01   1.138379e-02   4.216105e-04
  4.460061e-01   1.142347e-02   4.384826e-04
  4.587479e-01   1.045570e-02   4.103239e-04
  4.714896e-01   1.031481e-02   4.043379e-04
  4.842313e-01   1.003655e-02   4.053946e-04
  4.969728e-01   9.624423e-03   3.850519e-04
  5.097142e-01   9.629847e-03   3.871306e-04
  5.224555e-01   9.151020e-03   3.676368e-04
  5.351967e-01   9.379750e-03   3.714408e-04
  5.479378e-01   9.925969e-03   3.683293e-04
  5.606787e-01   8.931883e-03   3.520602e-04
  5.734196e-01   9.076796e-03   3.562281e-04
  5.861603e-01   8.366786e-03   3.400670e-04
  5.989008e-01   8.408505e-03   3.419178e-04
  6.116413e-01   7.466199e-03   3.346889e-04
  6.243816e-01   8.576163e-03   3.247972e-04
  6.371217e-01   7.344230e-03   3.292231e-04
  6.498618e-01   8.203638e-03   3.145612e-04
  6.626017e-01   6.677342e-03   3.164338e-04
  6.753414e-01   7.260760e-03   3.063179e-04
  6.880810e-01   7.094888e-03   3.087530e-04
  7.008204e-01   6.376505e-03   3.016286e-04
  7.135597e-01   6.573923e-03   2.900148e-04
  7.262988e-01   6.760332e-03   2.955039e-04
  7.390378e-01   6.463811e-03   2.877152e-04
  7.517766e-01   6.434413e-03   2.879975e-04
  7.645153e-01   6.183480e-03   2.834738e-04
  7.772537e-01   6.633571e-03   2.791083e-04
  7.899920e-01   6.312255e-03   2.773259e-04
  8.027302e-01   5.383168e-03   2.655976e-04
  8.154681e-01   5.216255e-03   2.693050e-04
  8.282059e-01   5.301602e-03   2.620159e-04
  8.409435e-01   5.583240e-03   2.608749e-04
  8.536809e-01   4.999644e-03   2.622807e-04
  8.664181e-01   4.702654e-03   2.521137e-04
  8.791551e-01   4.979945e-03   2.547543e-04
  8.918920e-01   4.391969e-03   2.441230e-04
  9.046286e-01   4.384075e-03   2.460650e-04
  9.173650e-01   4.262035e-03   2.428979e-04
  9.301013e-01   4.444214e-03   2.422064e-04
  9.428373e-01   3.979065e-03   2.364366e-04
  9.555731e-01   3.887515e-03   2.348309e-04
  9.683087e-01   3.821531e-03   2.339548e-04
  9.810441e-01   3.436366e-03   2.297222e-04
  9.937793e-01   4.098724e-03   2.294648e-04
  1.006514e+00   3.320603e-03   2.313988e-04
  1.019249e+00   2.911060e-03   2.177766e-04
  1.031984e+00   3.704588e-03   2.227402e-04
  1.044718e+00   3.046645e-03   2.229267e-04
  1.057452e+00   3.120580e-03   2.257137e-04
  1.070186e+00   2.554699e-03   2.291355e-04
  1.082919e+00   2.994711e-03   2.228882e-04
  1.095653e+00   2.869439e-03   2.261122e-04
  1.108386e+00   2.878841e-03   2.210327e-04
  1.121119e+00   3.314828e-03   2.270394e-04
  1.133851e+00   2.782697e-03   2.220687e-04
  1.146584e+00   2.392891e-03   2.200560e-04
  1.159316e+00   2.575583e-03   2.264651e-04
  1.172048e+00   2.434792e-03   2.158445e-04
  1.184779e+00   2.686422e-03   2.257395e-04
  1.197511e+00   2.255886e-03   2.230235e-04
  1.210242e+00   2.449894e-03   2.281669e-04
  1.222973e+00   2.524403e-03   2.328624e-04
  1.235703e+00   2.394179e-03   2.274106e-04
  1.248433e+00   1.643206e-03   2.297646e-04
  1.261163e+00   2.068326e-03   2.271076e-04
  1.273893e+00   1.844118e-03   2.304707e-04
  1.286623e+00   2.082070e-03   2.323461e-04
  1.299352e+00   2.021253e-03   2.299950e-04
  1.312081e+00   1.407764e-03   2.351431e-04
  1.324809e+00   2.078105e-03   2.287635e-04
  1.337538e+00   1.126267e-03   2.241566e-04
  1.350266e+00   1.426931e-03   2.168582e-04
  1.362993e+00   1.542314e-03   2.180636e-04
  1.375721e+00   1.427004e-03   2.194627e-04
  1.388448e+00   1.368410e-03   2.149092e-04
  1.401175e+00   1.746223e-03   2.275566e-04
  1.413901e+00   1.244995e-03   2.202964e-04
  1.426627e+00   1.624088e-03   2.257630e-04
  1.439353e+00   1.220440e-03   2.273347e-04
  1.452079e+00   1.423176e-03   2.258513e-04
  1.464804e+00   9.713658e-04   2.302973e-04
  1.477529e+00   1.016817e-03   2.250585e-04
  1.490254e+00   1.269249e-03   2.262520e-04
  1.502978e+00   1.701187e-03   2.326194e-04
  1.515702e+00   1.808660e-03   2.246390e-04
  1.528425e+00   1.480436e-03   2.339347e-04
  1.541149e+00   1.471069e-03   2.251916e-04
  1.553872e+00   1.664433e-03   2.310284e-04
  1.566594e+00   9.521429e-04   2.239727e-04
  1.579317e+00   8.738204e-04   2.238463e-04
  1.592038e+00   1.091615e-03   2.310934e-04
  1.604760e+00   1.318988e-03   2.276127e-04
  1.617481e+00   1.560732e-03   2.292927e-04
  1.630202e+00   9.382816e-04   2.298389e-04
  1.642923e+00   1.152593e-03   2.216219e-04
  1.655643e+00   5.331102e-04   2.208057e-04
  1.668362e+00   8.783551e-04   2.228934e-04
  1.681082e+00   8.451474e-04   2.141860e-04
  1.693801e+00   1.036582e-03   2.116488e-04
  1.706520e+00   6.151097e-04   2.092912e-04
  1.719238e+00   1.160361e-03   2.044243e-04
  1.731956e+00   9.775265e-04   2.035285e-04
  1.744673e+00   6.396765e-04   2.045798e-04
  1.757390e+00   7.490342e-04   2.018576e-04
  1.770107e+00   4.514086e-04   1.984484e-04
  1.782824e+00   2.471463e-04   1.931576e-04
  1.795540e+00   5.358434e-04   1.960341e-04
  1.808255e+00   3.530411e-04   1.920769e-04
  1.820970e+00   2.380621e-04   1.886323e-04
  1.833685e+00   8.370418e-04   1.942152e-04
  1.846400e+00   4.355677e-04   1.877791e-04
  1.859113e+00   5.249934e-04   1.907694e-04
  1.871827e+00  -6.733388e-05   1.875999e-04
  1.884540e+00   7.583628e-04   1.853247e-04
  1.897253e+00   6.339000e-04   1.862294e-04
  1.909965e+00   4.401549e-04   1.826103e-04
  1.922677e+00   5.591005e-04   1.842991e-04
  1.935389e+00   2.364728e-04   1.830217e-04
  1.948100e+00   1.425239e-04   1.813300e-04
  1.960810e+00   5.397056e-04   1.810527e-04
  1.973521e+00   3.999415e-04   1.778357e-04
  1.986230e+00   2.803294e-04   1.793973e-04
  1.998940e+00   3.054398e-04   1.768841e-04
  2.011649e+00   5.194551e-04   1.782732e-04
  2.024357e+00   5.196755e-04   1.750833e-04
  2.037065e+00   5.304847e-05   1.744457e-04
  2.049773e+00   7.759082e-04   1.736625e-04
  2.062480e+00   2.657397e-04   1.737699e-04
  2.075187e+00   4.111641e-04   1.744613e-04
  2.087893e+00  -5.357250e-05   1.727148e-04
  2.100599e+00   3.453063e-04   1.729371e-04
  2.113304e+00  -1.174506e-05   1.733627e-04
  2.126009e+00   4.355885e-04   1.706724e-04
  2.138713e+00   6.083689e-04   1.727272e-04
  2.151417e+00   2.649621e-05   1.683680e-04
  2.164121e+00   5.154036e-04   1.708876e-04
  2.176824e+00   6.029041e-05   1.684914e-04
  2.189526e+00   9.733566e-05   1.676838e-04
  2.202228e+00   2.757284e-05   1.702604e-04
  2.214930e+00   1.998445e-04   1.647178e-04
  2.227631e+00   3.793570e-04   1.693815e-04
  2.240331e+00   2.987757e-04   1.665449e-04
  2.253031e+00   1.282016e-04   1.687523e-04
  2.265731e+00   1.987222e-04   1.685182e-04
  2.278430e+00   4.906007e-04   1.654386e-04
  2.291128e+00   1.886097e-04   1.672796e-04
  2.303827e+00   5.959403e-04   1.663320e-04
  2.316524e+00   4.320963e-04   1.648520e-04
  2.329221e+00   3.423099e-04   1.647957e-04
  2.341918e+00   3.595597e-04   1.626228e-04
  2.354614e+00   1.274969e-04   1.628379e-04
  2.367309e+00   2.278113e-04   1.628805e-04
  2.380004e+00   1.711507e-04   1.624620e-04
  2.392699e+00   6.345878e-05   1.604570e-04
  2.405393e+00   4.009261e-04   1.633384e-04
  2.418086e+00   1.905091e-05   1.611305e-04
