Sample description: 
Sample:   c= 0 mg/ml  Code: 
Parent(s): TipAS_1.96mgml-1_30deg_sub_ave_cm-1.dat
  1.146921e-01   1.537350e-02   2.332865e-03
  1.274356e-01   2.122697e-02   1.693432e-03
  1.401790e-01   1.874641e-02   1.581785e-03
  1.529224e-01   1.465442e-02   1.352157e-03
  1.656658e-01   1.667424e-02   1.224257e-03
  1.784092e-01   1.567896e-02   1.211469e-03
  1.911525e-01   1.748896e-02   1.050121e-03
  2.038957e-01   1.523424e-02   1.057775e-03
  2.166390e-01   1.804315e-02   9.358296e-04
  2.293821e-01   1.721397e-02   9.163066e-04
  2.421253e-01   1.467004e-02   8.410929e-04
  2.548683e-01   1.509624e-02   7.827444e-04
  2.676113e-01   1.611690e-02   7.530663e-04
  2.803543e-01   1.470336e-02   6.848913e-04
  2.930972e-01   1.415180e-02   6.724821e-04
  3.058400e-01   1.450048e-02   6.176990e-04
  3.185828e-01   1.417452e-02   5.943811e-04
  3.313255e-01   1.357764e-02   5.643418e-04
  3.440681e-01   1.275535e-02   5.244357e-04
  3.568106e-01   1.335577e-02   5.289255e-04
  3.695531e-01   1.409972e-02   5.020718e-04
  3.822955e-01   1.281124e-02   4.874828e-04
  3.950378e-01   1.143807e-02   4.661514e-04
  4.077800e-01   1.277294e-02   4.546119e-04
  4.205221e-01   1.199302e-02   4.537260e-04
  4.332641e-01   1.159272e-02   4.232890e-04
  4.460061e-01   1.160451e-02   4.399516e-04
  4.587479e-01   1.045211e-02   4.101953e-04
  4.714896e-01   1.075255e-02   4.079547e-04
  4.842313e-01   1.031953e-02   4.077167e-04
  4.969728e-01   9.669378e-03   3.853283e-04
  5.097142e-01   1.049588e-02   3.943042e-04
  5.224555e-01   9.177036e-03   3.677644e-04
  5.351967e-01   1.026189e-02   3.786171e-04
  5.479378e-01   9.761255e-03   3.668915e-04
  5.606787e-01   9.268046e-03   3.546546e-04
  5.734196e-01   8.637031e-03   3.525302e-04
  5.861603e-01   8.777015e-03   3.432320e-04
  5.989008e-01   8.282077e-03   3.408136e-04
  6.116413e-01   7.813388e-03   3.374308e-04
  6.243816e-01   8.116474e-03   3.211236e-04
  6.371217e-01   7.849811e-03   3.332435e-04
  6.498618e-01   8.389102e-03   3.158874e-04
  6.626017e-01   6.211163e-03   3.126244e-04
  6.753414e-01   7.566740e-03   3.086008e-04
  6.880810e-01   7.046163e-03   3.082979e-04
  7.008204e-01   6.833383e-03   3.051350e-04
  7.135597e-01   6.638566e-03   2.904323e-04
  7.262988e-01   7.165490e-03   2.985461e-04
  7.390378e-01   6.350500e-03   2.867888e-04
  7.517766e-01   6.887429e-03   2.913805e-04
  7.645153e-01   6.357189e-03   2.847055e-04
  7.772537e-01   6.461117e-03   2.777427e-04
  7.899920e-01   5.852199e-03   2.737939e-04
  8.027302e-01   5.572138e-03   2.669388e-04
  8.154681e-01   5.330668e-03   2.700980e-04
  8.282059e-01   5.829969e-03   2.659043e-04
  8.409435e-01   5.846724e-03   2.627606e-04
  8.536809e-01   5.004061e-03   2.622529e-04
  8.664181e-01   4.445722e-03   2.502068e-04
  8.791551e-01   5.158745e-03   2.560142e-04
  8.918920e-01   4.898072e-03   2.476843e-04
  9.046286e-01   4.867483e-03   2.495853e-04
  9.173650e-01   5.012571e-03   2.483108e-04
  9.301013e-01   4.407050e-03   2.418800e-04
  9.428373e-01   4.174699e-03   2.377915e-04
  9.555731e-01   4.210389e-03   2.370753e-04
  9.683087e-01   4.342420e-03   2.376615e-04
  9.810441e-01   3.502003e-03   2.301423e-04
  9.937793e-01   4.277460e-03   2.306934e-04
  1.006514e+00   3.193570e-03   2.304210e-04
  1.019249e+00   3.288599e-03   2.204043e-04
  1.031984e+00   3.797398e-03   2.233477e-04
  1.044718e+00   3.061323e-03   2.229815e-04
  1.057452e+00   3.308051e-03   2.270276e-04
  1.070186e+00   2.800087e-03   2.309293e-04
  1.082919e+00   2.641609e-03   2.202535e-04
  1.095653e+00   3.009310e-03   2.271293e-04
  1.108386e+00   2.694407e-03   2.196479e-04
  1.121119e+00   3.118628e-03   2.255122e-04
  1.133851e+00   2.330902e-03   2.186330e-04
  1.146584e+00   2.806807e-03   2.231141e-04
  1.159316e+00   2.190332e-03   2.234891e-04
  1.172048e+00   2.805752e-03   2.185289e-04
  1.184779e+00   2.526285e-03   2.244605e-04
  1.197511e+00   2.395954e-03   2.240548e-04
  1.210242e+00   2.759758e-03   2.305394e-04
  1.222973e+00   2.503410e-03   2.326383e-04
  1.235703e+00   2.582511e-03   2.288497e-04
  1.248433e+00   2.206728e-03   2.343173e-04
  1.261163e+00   2.001006e-03   2.265102e-04
  1.273893e+00   2.468411e-03   2.354530e-04
  1.286623e+00   2.033478e-03   2.318862e-04
  1.299352e+00   1.959243e-03   2.294325e-04
  1.312081e+00   1.297395e-03   2.341488e-04
  1.324809e+00   1.575288e-03   2.246098e-04
  1.337538e+00   1.591535e-03   2.279469e-04
  1.350266e+00   1.745018e-03   2.193689e-04
  1.362993e+00   2.017028e-03   2.218203e-04
  1.375721e+00   1.237078e-03   2.178667e-04
  1.388448e+00   2.055544e-03   2.205022e-04
  1.401175e+00   1.646598e-03   2.266668e-04
  1.413901e+00   1.662425e-03   2.236601e-04
  1.426627e+00   1.671938e-03   2.261105e-04
  1.439353e+00   1.498158e-03   2.296441e-04
  1.452079e+00   1.276120e-03   2.245580e-04
  1.464804e+00   1.160608e-03   2.318671e-04
  1.477529e+00   1.085140e-03   2.255895e-04
  1.490254e+00   1.508816e-03   2.282387e-04
  1.502978e+00   1.539656e-03   2.311703e-04
  1.515702e+00   1.627383e-03   2.230312e-04
  1.528425e+00   1.141551e-03   2.308714e-04
  1.541149e+00   1.376902e-03   2.243280e-04
  1.553872e+00   1.367467e-03   2.283608e-04
  1.566594e+00   1.397732e-03   2.278125e-04
  1.579317e+00   1.304196e-03   2.275925e-04
  1.592038e+00   9.166658e-04   2.294885e-04
  1.604760e+00   1.028387e-03   2.250465e-04
  1.617481e+00   8.689413e-04   2.231929e-04
  1.630202e+00   8.142316e-04   2.286994e-04
  1.642923e+00   1.390174e-03   2.236562e-04
  1.655643e+00   1.215034e-03   2.267521e-04
  1.668362e+00   6.787526e-04   2.210912e-04
  1.681082e+00   8.721015e-04   2.143657e-04
  1.693801e+00   1.202051e-03   2.129889e-04
  1.706520e+00   5.533092e-04   2.087315e-04
  1.719238e+00   1.662227e-03   2.083806e-04
  1.731956e+00   1.227506e-03   2.054824e-04
  1.744673e+00   6.108301e-04   2.043018e-04
  1.757390e+00   4.019434e-04   1.990613e-04
  1.770107e+00   5.294209e-04   1.990278e-04
  1.782824e+00   7.384133e-05   1.917328e-04
  1.795540e+00   7.436321e-04   1.976313e-04
  1.808255e+00   6.782857e-04   1.945898e-04
  1.820970e+00   6.180719e-04   1.915328e-04
  1.833685e+00   5.234158e-04   1.917195e-04
  1.846400e+00   8.219658e-04   1.907097e-04
  1.859113e+00   6.018566e-04   1.913157e-04
  1.871827e+00   2.022068e-04   1.896282e-04
  1.884540e+00   8.512214e-04   1.859858e-04
  1.897253e+00   4.140797e-04   1.845197e-04
  1.909965e+00   5.692056e-04   1.835428e-04
  1.922677e+00   4.324814e-04   1.832973e-04
  1.935389e+00   4.228483e-04   1.843708e-04
  1.948100e+00  -7.263750e-05   1.796849e-04
  1.960810e+00   7.326092e-04   1.824441e-04
  1.973521e+00   5.204832e-04   1.786679e-04
  1.986230e+00   4.088252e-04   1.803134e-04
  1.998940e+00   7.451944e-04   1.800059e-04
  2.011649e+00   4.659101e-04   1.778392e-04
  2.024357e+00   6.537536e-04   1.760188e-04
  2.037065e+00   3.043408e-05   1.742401e-04
  2.049773e+00   6.591367e-04   1.727864e-04
  2.062480e+00   2.666069e-04   1.737364e-04
  2.075187e+00   1.151999e-04   1.722816e-04
  2.087893e+00  -4.561971e-05   1.727329e-04
  2.100599e+00   3.146843e-04   1.726801e-04
  2.113304e+00   2.896708e-04   1.754710e-04
  2.126009e+00   3.405574e-04   1.699633e-04
  2.138713e+00   3.424194e-04   1.707847e-04
  2.151417e+00   7.483571e-04   1.734511e-04
  2.164121e+00   3.589766e-04   1.697464e-04
  2.176824e+00   2.691304e-05   1.682136e-04
  2.189526e+00   2.906773e-04   1.689997e-04
  2.202228e+00  -1.477743e-05   1.699207e-04
  2.214930e+00   2.419011e-04   1.649715e-04
  2.227631e+00   2.172648e-04   1.681933e-04
  2.240331e+00   1.639257e-04   1.655582e-04
  2.253031e+00   2.937407e-04   1.698677e-04
  2.265731e+00   2.593748e-04   1.688993e-04
  2.278430e+00   3.521709e-04   1.644472e-04
  2.291128e+00   2.898976e-04   1.679411e-04
  2.303827e+00   6.147388e-04   1.664234e-04
  2.316524e+00   3.625958e-04   1.643385e-04
  2.329221e+00   2.595925e-04   1.641829e-04
  2.341918e+00   7.279393e-04   1.651258e-04
  2.354614e+00   1.398524e-04   1.628860e-04
  2.367309e+00   2.088819e-04   1.627146e-04
  2.380004e+00   2.128277e-04   1.627085e-04
  2.392699e+00   5.208520e-04   1.635644e-04
  2.405393e+00   2.105963e-04   1.620022e-04
  2.418086e+00   2.247047e-04   1.625222e-04
  2.430779e+00   4.406387e-04   1.598270e-04
  2.443472e+00  -4.053185e-05   1.600264e-04
  2.456163e+00   1.344722e-04   1.593508e-04
