#	#Temperature (K)	Rg (nm)	Rg StDev (nm)	I(0) (cm-1/mgml-1)	I(0) StDev	Fidelity	MW	MW adjusted p.s.v.	Dimer frac	Dimer frac adjust
#	# ./Data_BM29/DatRg_highq.dat									
	283.15	1.94631	3.38E-03	1.71E-02	6.06E-05	4.56E-27	21.7	14.4	0.30	-0.14
	288.15	1.94471	3.45E-03	1.65E-02	5.95E-05	1.02E-17	20.8	14.2	0.25	-0.14
	293.15	1.93666	3.40E-03	1.57E-02	5.57E-05	8.46E-18	19.7	14.1	0.18	-0.15
	298.15	1.93016	3.62E-03	1.47E-02	5.54E-05	6.81E-23	18.3	13.6	0.10	-0.18
	303.15	1.9053	3.89E-03	1.38E-02	5.55E-05	1.46E-24	17.1	13.3	0.03	-0.20
	308.15	1.8971	4.44E-03	1.28E-02	5.81E-05	6.31E-15	15.6	12.5	-0.06	-0.25
	313.15	1.89189	4.57E-03	1.15E-02	5.39E-05	2.96E-15	13.9	11.8	-0.16	-0.29
#	#									
#	293.15	1.90115	3.35E-03	1.58E-02	5.44E-05	7.14E-21	19.8	14.2	0.19	-0.15
#	303.15	1.88751	3.77E-03	1.38E-02	5.33E-05	9.14E-11	17.1	13.3	0.03	-0.20

