Sample description: Sample c= 1.79 mg/ml
Sample: Sample c= 1.79   c= 1.79 mg/ml  Code: TipAS_NaP
Parent(s): TipAS_NaP_20degBACK_1-2_ave_sub.dat
  5.311318e-02   2.293410e-02   1.157493e-03
  5.827494e-02   2.580127e-02   7.757663e-04
  6.343670e-02   2.508390e-02   5.977697e-04
  6.859846e-02   2.556848e-02   4.895430e-04
  7.376022e-02   2.532978e-02   4.279705e-04
  7.892198e-02   2.510314e-02   3.771418e-04
  8.408374e-02   2.593285e-02   3.340513e-04
  8.924550e-02   2.580642e-02   2.923190e-04
  9.440726e-02   2.614538e-02   2.672457e-04
  9.956902e-02   2.561646e-02   2.471667e-04
  1.047308e-01   2.565780e-02   2.239249e-04
  1.098925e-01   2.520182e-02   2.067376e-04
  1.150543e-01   2.532848e-02   1.929044e-04
  1.202161e-01   2.497018e-02   1.804624e-04
  1.253778e-01   2.540195e-02   1.726393e-04
  1.305396e-01   2.500218e-02   1.627242e-04
  1.357013e-01   2.490846e-02   1.529688e-04
  1.408631e-01   2.495756e-02   1.478101e-04
  1.460249e-01   2.484003e-02   1.384056e-04
  1.511866e-01   2.453200e-02   1.352727e-04
  1.563484e-01   2.450655e-02   1.295085e-04
  1.615101e-01   2.443396e-02   1.241096e-04
  1.666719e-01   2.435193e-02   1.215797e-04
  1.718337e-01   2.390577e-02   1.174361e-04
  1.769954e-01   2.364853e-02   1.123870e-04
  1.821572e-01   2.372918e-02   1.102481e-04
  1.873190e-01   2.369616e-02   1.075781e-04
  1.924807e-01   2.351434e-02   1.045894e-04
  1.976425e-01   2.333551e-02   1.027947e-04
  2.028042e-01   2.305395e-02   1.004199e-04
  2.079660e-01   2.296429e-02   9.721449e-05
  2.131277e-01   2.299449e-02   9.637454e-05
  2.182895e-01   2.268133e-02   9.494463e-05
  2.234513e-01   2.245833e-02   9.240440e-05
  2.286130e-01   2.231554e-02   9.145571e-05
  2.337748e-01   2.226663e-02   8.978616e-05
  2.389365e-01   2.194868e-02   8.699851e-05
  2.440983e-01   2.209636e-02   8.649964e-05
  2.492601e-01   2.167333e-02   8.551596e-05
  2.544218e-01   2.156071e-02   8.338896e-05
  2.595836e-01   2.140007e-02   8.266466e-05
  2.647454e-01   2.123839e-02   8.127432e-05
  2.699071e-01   2.107922e-02   7.932758e-05
  2.750689e-01   2.100155e-02   7.964143e-05
  2.802306e-01   2.070798e-02   7.803086e-05
  2.853924e-01   2.053491e-02   7.621158e-05
  2.905541e-01   2.035272e-02   7.663330e-05
  2.957159e-01   2.015625e-02   7.759341e-05
  3.008777e-01   1.997449e-02   7.739909e-05
  3.060394e-01   1.990408e-02   7.805395e-05
  3.112012e-01   1.959531e-02   7.670168e-05
  3.163629e-01   1.952242e-02   7.618118e-05
  3.215247e-01   1.921871e-02   7.639132e-05
  3.266865e-01   1.912144e-02   7.587155e-05
  3.318482e-01   1.897774e-02   7.512397e-05
  3.370100e-01   1.887183e-02   7.462384e-05
  3.421718e-01   1.862431e-02   7.454327e-05
  3.473335e-01   1.855696e-02   7.437626e-05
  3.524953e-01   1.822044e-02   7.385079e-05
  3.576570e-01   1.820592e-02   7.139010e-05
  3.628188e-01   1.802965e-02   6.871837e-05
  3.679805e-01   1.777421e-02   6.886816e-05
  3.731423e-01   1.758713e-02   6.754001e-05
  3.783041e-01   1.752389e-02   6.584775e-05
  3.834658e-01   1.735019e-02   6.557138e-05
  3.886276e-01   1.712670e-02   6.470006e-05
  3.937894e-01   1.698282e-02   6.368992e-05
  3.989511e-01   1.674582e-02   6.345969e-05
  4.041129e-01   1.668491e-02   6.282859e-05
  4.092746e-01   1.650504e-02   6.110302e-05
  4.144364e-01   1.630534e-02   6.111494e-05
  4.195982e-01   1.621168e-02   6.079500e-05
  4.247599e-01   1.596770e-02   5.943452e-05
  4.299217e-01   1.585131e-02   5.941511e-05
  4.350834e-01   1.572779e-02   5.853602e-05
  4.402452e-01   1.557712e-02   5.758986e-05
  4.454069e-01   1.539961e-02   5.745774e-05
  4.505687e-01   1.522959e-02   5.725024e-05
  4.557305e-01   1.511678e-02   5.578494e-05
  4.608922e-01   1.488815e-02   5.597037e-05
  4.660540e-01   1.474797e-02   5.545432e-05
  4.712158e-01   1.470448e-02   5.610887e-05
  4.763775e-01   1.450855e-02   5.658547e-05
  4.815393e-01   1.442356e-02   5.651198e-05
  4.867010e-01   1.422430e-02   5.607780e-05
  4.918628e-01   1.406479e-02   5.649567e-05
  4.970246e-01   1.401383e-02   5.613515e-05
  5.021863e-01   1.369721e-02   5.588815e-05
  5.073481e-01   1.356721e-02   5.573396e-05
  5.125098e-01   1.346190e-02   5.568796e-05
  5.176716e-01   1.328189e-02   5.548302e-05
  5.228333e-01   1.312447e-02   5.534707e-05
  5.279951e-01   1.306539e-02   5.539702e-05
  5.331569e-01   1.285480e-02   5.410397e-05
  5.383186e-01   1.273694e-02   5.356582e-05
  5.434804e-01   1.255637e-02   5.277345e-05
  5.486422e-01   1.252085e-02   5.159760e-05
  5.538039e-01   1.238171e-02   5.128729e-05
  5.589657e-01   1.229955e-02   5.089933e-05
  5.641274e-01   1.208708e-02   4.983078e-05
  5.692892e-01   1.193217e-02   5.008167e-05
  5.744510e-01   1.187658e-02   4.989355e-05
  5.796127e-01   1.179801e-02   4.868828e-05
  5.847745e-01   1.156497e-02   4.854576e-05
  5.899363e-01   1.143521e-02   4.842053e-05
  5.950980e-01   1.137648e-02   4.763058e-05
  6.002598e-01   1.123641e-02   4.749347e-05
  6.054215e-01   1.109891e-02   4.726548e-05
  6.105833e-01   1.106599e-02   4.651961e-05
  6.157451e-01   1.086142e-02   4.651840e-05
  6.209068e-01   1.079093e-02   4.624092e-05
  6.260686e-01   1.061289e-02   4.538415e-05
  6.312303e-01   1.043173e-02   4.547943e-05
  6.363921e-01   1.044348e-02   4.554000e-05
  6.415538e-01   1.022854e-02   4.432761e-05
  6.467156e-01   1.020006e-02   4.458635e-05
  6.518773e-01   1.010992e-02   4.441580e-05
  6.570391e-01   9.901260e-03   4.375678e-05
  6.622009e-01   9.811591e-03   4.444410e-05
  6.673626e-01   9.697541e-03   4.487891e-05
  6.725244e-01   9.608650e-03   4.428635e-05
  6.776862e-01   9.484913e-03   4.460269e-05
  6.828479e-01   9.403093e-03   4.513134e-05
  6.880097e-01   9.287502e-03   4.382185e-05
  6.931714e-01   9.214759e-03   4.342669e-05
  6.983332e-01   9.096704e-03   4.307355e-05
  7.034950e-01   9.011296e-03   4.208563e-05
  7.086567e-01   8.913738e-03   4.252631e-05
  7.138185e-01   8.827079e-03   4.205551e-05
  7.189803e-01   8.748838e-03   4.124852e-05
  7.241420e-01   8.613167e-03   4.134393e-05
  7.293038e-01   8.573481e-03   4.113826e-05
  7.344655e-01   8.416406e-03   4.027364e-05
  7.396273e-01   8.343960e-03   4.027563e-05
  7.447891e-01   8.236659e-03   4.005086e-05
  7.499508e-01   8.167567e-03   3.955197e-05
  7.551126e-01   8.024760e-03   3.970678e-05
  7.602744e-01   8.030596e-03   3.957687e-05
  7.654361e-01   7.877441e-03   3.889779e-05
  7.705979e-01   7.767276e-03   3.913810e-05
  7.757596e-01   7.740505e-03   3.906235e-05
  7.809214e-01   7.645930e-03   3.855496e-05
  7.860831e-01   7.467570e-03   3.843285e-05
  7.912449e-01   7.445261e-03   3.828881e-05
  7.964066e-01   7.390185e-03   3.780677e-05
  8.015684e-01   7.320359e-03   3.800110e-05
  8.067302e-01   7.232137e-03   3.778302e-05
  8.118919e-01   7.163943e-03   3.722587e-05
  8.170537e-01   7.068165e-03   3.723539e-05
  8.222154e-01   7.059409e-03   3.691471e-05
  8.273772e-01   6.868761e-03   3.659062e-05
  8.325390e-01   6.839591e-03   3.652866e-05
  8.377007e-01   6.763609e-03   3.649990e-05
  8.428625e-01   6.702660e-03   3.599649e-05
  8.480242e-01   6.609192e-03   3.590076e-05
  8.531860e-01   6.609689e-03   3.601187e-05
  8.583478e-01   6.476440e-03   3.555341e-05
  8.635095e-01   6.365423e-03   3.557023e-05
