Sample description: Sample c= 1.79 mg/ml
Sample: Sample c= 1.79   c= 1.79 mg/ml  Code: TipAS_NaP
Parent(s): TipAS_NaP_20deg_1-2_ave_sub.dat
  5.311318e-02   2.742219e-02   1.173170e-03
  5.827494e-02   3.030940e-02   7.820128e-04
  6.343670e-02   2.876918e-02   5.997357e-04
  6.859846e-02   2.846927e-02   4.875254e-04
  7.376022e-02   2.807925e-02   4.253580e-04
  7.892198e-02   2.854764e-02   3.747900e-04
  8.408374e-02   2.793869e-02   3.318559e-04
  8.924550e-02   2.780652e-02   2.901453e-04
  9.440726e-02   2.754683e-02   2.646123e-04
  9.956902e-02   2.746711e-02   2.453811e-04
  1.047308e-01   2.703652e-02   2.224630e-04
  1.098925e-01   2.719156e-02   2.049315e-04
  1.150543e-01   2.685440e-02   1.913273e-04
  1.202161e-01   2.657097e-02   1.793308e-04
  1.253778e-01   2.681682e-02   1.715446e-04
  1.305396e-01   2.642031e-02   1.614852e-04
  1.357013e-01   2.623374e-02   1.518762e-04
  1.408631e-01   2.624770e-02   1.468611e-04
  1.460249e-01   2.586808e-02   1.374492e-04
  1.511866e-01   2.580333e-02   1.348969e-04
  1.563484e-01   2.575565e-02   1.290772e-04
  1.615101e-01   2.548587e-02   1.235515e-04
  1.666719e-01   2.537589e-02   1.210738e-04
  1.718337e-01   2.501500e-02   1.170965e-04
  1.769954e-01   2.515886e-02   1.124779e-04
  1.821572e-01   2.488212e-02   1.098631e-04
  1.873190e-01   2.474316e-02   1.072023e-04
  1.924807e-01   2.444003e-02   1.042969e-04
  1.976425e-01   2.432847e-02   1.023605e-04
  2.028042e-01   2.411539e-02   1.002081e-04
  2.079660e-01   2.387433e-02   9.676137e-05
  2.131277e-01   2.368689e-02   9.588418e-05
  2.182895e-01   2.346241e-02   9.444465e-05
  2.234513e-01   2.310879e-02   9.187994e-05
  2.286130e-01   2.312223e-02   9.116157e-05
  2.337748e-01   2.285106e-02   8.930455e-05
  2.389365e-01   2.271361e-02   8.660903e-05
  2.440983e-01   2.259433e-02   8.595238e-05
  2.492601e-01   2.240818e-02   8.521982e-05
  2.544218e-01   2.216049e-02   8.284202e-05
  2.595836e-01   2.199099e-02   8.227454e-05
  2.647454e-01   2.184292e-02   8.088805e-05
  2.699071e-01   2.144616e-02   7.878557e-05
  2.750689e-01   2.156399e-02   7.919312e-05
  2.802306e-01   2.123358e-02   7.753328e-05
  2.853924e-01   2.111912e-02   7.583829e-05
  2.905541e-01   2.075749e-02   7.612115e-05
  2.957159e-01   2.063018e-02   7.712814e-05
  3.008777e-01   2.036822e-02   7.698620e-05
  3.060394e-01   2.032260e-02   7.751920e-05
  3.112012e-01   1.998990e-02   7.621530e-05
  3.163629e-01   1.984854e-02   7.569333e-05
  3.215247e-01   1.960517e-02   7.590263e-05
  3.266865e-01   1.949290e-02   7.532887e-05
  3.318482e-01   1.915784e-02   7.461262e-05
  3.370100e-01   1.905828e-02   7.399731e-05
  3.421718e-01   1.870403e-02   7.392203e-05
  3.473335e-01   1.872705e-02   7.381182e-05
  3.524953e-01   1.862564e-02   7.342149e-05
  3.576570e-01   1.824715e-02   7.074689e-05
  3.628188e-01   1.814111e-02   6.811497e-05
  3.679805e-01   1.795137e-02   6.833216e-05
  3.731423e-01   1.771306e-02   6.701431e-05
  3.783041e-01   1.759303e-02   6.525019e-05
  3.834658e-01   1.736846e-02   6.490352e-05
  3.886276e-01   1.724170e-02   6.421166e-05
  3.937894e-01   1.701462e-02   6.310473e-05
  3.989511e-01   1.687714e-02   6.299632e-05
  4.041129e-01   1.661182e-02   6.222470e-05
  4.092746e-01   1.651036e-02   6.055208e-05
  4.144364e-01   1.629107e-02   6.045107e-05
  4.195982e-01   1.617118e-02   6.015175e-05
  4.247599e-01   1.601660e-02   5.889457e-05
  4.299217e-01   1.581838e-02   5.879069e-05
  4.350834e-01   1.562717e-02   5.791478e-05
  4.402452e-01   1.545416e-02   5.691604e-05
  4.454069e-01   1.531911e-02   5.686596e-05
  4.505687e-01   1.520057e-02   5.671338e-05
  4.557305e-01   1.500540e-02   5.515087e-05
  4.608922e-01   1.487559e-02   5.537394e-05
  4.660540e-01   1.462619e-02   5.481075e-05
  4.712158e-01   1.454264e-02   5.542258e-05
  4.763775e-01   1.434641e-02   5.587667e-05
  4.815393e-01   1.421587e-02   5.584968e-05
  4.867010e-01   1.400038e-02   5.536519e-05
  4.918628e-01   1.390592e-02   5.582883e-05
  4.970246e-01   1.371372e-02   5.542419e-05
  5.021863e-01   1.356707e-02   5.528610e-05
  5.073481e-01   1.347543e-02   5.510299e-05
  5.125098e-01   1.326515e-02   5.495481e-05
  5.176716e-01   1.316103e-02   5.479480e-05
  5.228333e-01   1.289618e-02   5.466715e-05
  5.279951e-01   1.282164e-02   5.478220e-05
  5.331569e-01   1.273322e-02   5.348547e-05
  5.383186e-01   1.244534e-02   5.287473e-05
  5.434804e-01   1.246731e-02   5.221130e-05
  5.486422e-01   1.231069e-02   5.096524e-05
  5.538039e-01   1.217348e-02   5.063369e-05
  5.589657e-01   1.203782e-02   5.029437e-05
  5.641274e-01   1.185376e-02   4.919273e-05
  5.692892e-01   1.173530e-02   4.939861e-05
  5.744510e-01   1.161493e-02   4.925729e-05
  5.796127e-01   1.147134e-02   4.811736e-05
  5.847745e-01   1.136103e-02   4.787870e-05
  5.899363e-01   1.127113e-02   4.786103e-05
  5.950980e-01   1.116452e-02   4.695034e-05
  6.002598e-01   1.101703e-02   4.683018e-05
  6.054215e-01   1.088918e-02   4.664124e-05
  6.105833e-01   1.072117e-02   4.589842e-05
  6.157451e-01   1.056719e-02   4.588972e-05
  6.209068e-01   1.059685e-02   4.569375e-05
  6.260686e-01   1.035424e-02   4.473950e-05
  6.312303e-01   1.022303e-02   4.481479e-05
  6.363921e-01   1.019485e-02   4.489864e-05
  6.415538e-01   1.002212e-02   4.378229e-05
  6.467156e-01   9.949421e-03   4.402435e-05
  6.518773e-01   9.817273e-03   4.378531e-05
  6.570391e-01   9.721409e-03   4.318382e-05
  6.622009e-01   9.589903e-03   4.387297e-05
  6.673626e-01   9.447859e-03   4.427165e-05
  6.725244e-01   9.405461e-03   4.365342e-05
  6.776862e-01   9.288914e-03   4.397053e-05
  6.828479e-01   9.176702e-03   4.454322e-05
  6.880097e-01   8.994988e-03   4.321435e-05
  6.931714e-01   8.877993e-03   4.275681e-05
  6.983332e-01   8.866998e-03   4.249085e-05
  7.034950e-01   8.769536e-03   4.150611e-05
  7.086567e-01   8.589131e-03   4.188273e-05
  7.138185e-01   8.551909e-03   4.148917e-05
  7.189803e-01   8.465506e-03   4.066112e-05
  7.241420e-01   8.339442e-03   4.075792e-05
  7.293038e-01   8.253641e-03   4.054317e-05
  7.344655e-01   8.216515e-03   3.974238e-05
  7.396273e-01   8.106373e-03   3.968563e-05
  7.447891e-01   7.942658e-03   3.952644e-05
  7.499508e-01   7.920778e-03   3.902200e-05
  7.551126e-01   7.799678e-03   3.917265e-05
  7.602744e-01   7.732027e-03   3.901959e-05
  7.654361e-01   7.598324e-03   3.836823e-05
  7.705979e-01   7.509424e-03   3.858668e-05
  7.757596e-01   7.413020e-03   3.848767e-05
  7.809214e-01   7.339804e-03   3.800171e-05
  7.860831e-01   7.350811e-03   3.799595e-05
  7.912449e-01   7.198120e-03   3.769769e-05
  7.964066e-01   7.064978e-03   3.722948e-05
  8.015684e-01   7.047720e-03   3.744884e-05
  8.067302e-01   6.968439e-03   3.718999e-05
  8.118919e-01   6.909628e-03   3.664392e-05
  8.170537e-01   6.777736e-03   3.670355e-05
  8.222154e-01   6.702875e-03   3.628278e-05
  8.273772e-01   6.621535e-03   3.607132e-05
  8.325390e-01   6.606049e-03   3.601869e-05
  8.377007e-01   6.518576e-03   3.599653e-05
  8.428625e-01   6.407124e-03   3.548138e-05
