q[nm-1]	merged(TipAS_1.96mgml-1_15deg_sub_ave_cm-1_divconc_nm-1.dat_00001_[493]TipAS_NaP_15deg_1-2_ave_sub_cm-1_divconc.dat_00001_[TipAS_NaP_15deg_1-2_ave_sub.dat],scale_high,lq=0.9058,hq=1.0031)	error
1.14692100e-01	1.70259300e-02	2.41197300e-03
1.27435600e-01	2.07189900e-02	1.68265600e-03
1.40179000e-01	2.07707600e-02	1.58577500e-03
1.52922400e-01	1.76625200e-02	1.37124900e-03
1.65665800e-01	1.79641900e-02	1.23810500e-03
1.78409200e-01	1.60400500e-02	1.22476900e-03
1.91152500e-01	1.77045600e-02	1.06898400e-03
2.03895700e-01	1.73987700e-02	1.07016300e-03
2.16639000e-01	1.71637800e-02	9.50841300e-04
2.29382100e-01	1.68919400e-02	9.23894400e-04
2.42125300e-01	1.73855300e-02	8.69149000e-04
2.54868300e-01	1.75644200e-02	8.04630600e-04
2.67611300e-01	1.60088300e-02	7.68283200e-04
2.80354300e-01	1.61895700e-02	6.97501500e-04
2.93097200e-01	1.56583600e-02	6.83540800e-04
3.05840000e-01	1.66975400e-02	6.45943900e-04
3.18582800e-01	1.63223000e-02	6.07547400e-04
3.31325500e-01	1.59427400e-02	5.85208200e-04
3.44068100e-01	1.56057700e-02	5.48483200e-04
3.56810600e-01	1.53598900e-02	5.45759700e-04
3.69553100e-01	1.55822800e-02	5.14552000e-04
3.82295500e-01	1.49891500e-02	5.02314800e-04
3.95037800e-01	1.34174200e-02	4.78613500e-04
4.07780000e-01	1.37000300e-02	4.65661900e-04
4.20522100e-01	1.36143100e-02	4.73011600e-04
4.33264100e-01	1.36701200e-02	4.43852200e-04
4.46006100e-01	1.31671000e-02	4.58055100e-04
4.58747900e-01	1.27290900e-02	4.28919800e-04
4.71489600e-01	1.24476800e-02	4.22102000e-04
4.84231300e-01	1.20755900e-02	4.20856500e-04
4.96972800e-01	1.16997900e-02	4.01612200e-04
5.09714200e-01	1.08005500e-02	3.97306300e-04
5.22455500e-01	1.11942700e-02	3.83022700e-04
5.35196700e-01	1.23467300e-02	3.93045600e-04
5.47937800e-01	1.02525400e-02	3.77104000e-04
