q[nm-1]	merged(TipAS_1.96mgml-1_30degBack_sub_ave_cm-1_divconc_nm-1.dat_00001_[493]TipAS_NaP_30degBACK_1-2_ave_sub_cm-1_divconc.dat_00001_[TipAS_NaP_30degBACK_1-2_ave_sub.dat],scale_high,lq=0.8992,hq=1.0068)	error
1.14692100e-01	1.63974200e-02	2.34242300e-03
1.27435600e-01	1.97112200e-02	1.68289400e-03
1.40179000e-01	1.76539600e-02	1.57373200e-03
1.52922400e-01	1.53593600e-02	1.35782700e-03
1.65665800e-01	1.64257400e-02	1.22264200e-03
1.78409200e-01	1.32048400e-02	1.19107400e-03
1.91152500e-01	1.74158500e-02	1.04981300e-03
2.03895700e-01	1.46578300e-02	1.05336200e-03
2.16639000e-01	1.65462500e-02	9.24514300e-04
2.29382100e-01	1.52962200e-02	9.01111200e-04
2.42125300e-01	1.38889500e-02	8.35103100e-04
2.54868300e-01	1.68545400e-02	7.96904600e-04
2.67611300e-01	1.60394800e-02	7.52608700e-04
2.80354300e-01	1.50862500e-02	6.88164800e-04
2.93097200e-01	1.33925300e-02	6.66136200e-04
3.05840000e-01	1.40083100e-02	6.13623500e-04
3.18582800e-01	1.41579000e-02	5.94380100e-04
3.31325500e-01	1.22311700e-02	5.52373000e-04
3.44068100e-01	1.39573400e-02	5.35036700e-04
3.56810600e-01	1.31407700e-02	5.27140300e-04
3.69553100e-01	1.26979900e-02	4.89923700e-04
3.82295500e-01	1.15862100e-02	4.76682600e-04
3.95037800e-01	1.09899400e-02	4.62287200e-04
4.07780000e-01	1.13421400e-02	4.42402300e-04
4.20522100e-01	1.24910700e-02	4.58245600e-04
4.33264100e-01	1.13837900e-02	4.21610500e-04
4.46006100e-01	1.14234700e-02	4.38482600e-04
4.58747900e-01	1.04557000e-02	4.10323900e-04
4.71489600e-01	1.03148100e-02	4.04337900e-04
4.84231300e-01	1.00365500e-02	4.05394600e-04
4.96972800e-01	9.62442300e-03	3.85051900e-04
5.09714200e-01	9.62984700e-03	3.87130600e-04
5.22455500e-01	9.15102000e-03	3.67636800e-04
5.35196700e-01	9.37975000e-03	3.71440800e-04
5.47937800e-01	9.92596900e-03	3.68329300e-04
5.60678700e-01	8.93188300e-03	3.52060200e-04
5.73419600e-01	9.07679600e-03	3.56228100e-04
5.86160300e-01	8.36678600e-03	3.40067000e-04
5.98900800e-01	8.40850500e-03	3.41917800e-04
6.11641300e-01	7.46619900e-03	3.34688900e-04
6.24381600e-01	8.57616300e-03	3.24797200e-04
6.37121700e-01	7.34423000e-03	3.29223100e-04
6.49861800e-01	8.20363800e-03	3.14561200e-04
6.62601700e-01	6.67734200e-03	3.16433800e-04
6.75341400e-01	7.26076000e-03	3.06317900e-04
6.88081000e-01	7.09488800e-03	3.08753000e-04
7.00820400e-01	6.37650500e-03	3.01628600e-04
7.13559700e-01	6.57392300e-03	2.90014800e-04
7.26298800e-01	6.76033200e-03	2.95503900e-04
7.39037800e-01	6.46381100e-03	2.87715200e-04
7.51776600e-01	6.43441300e-03	2.87997500e-04
7.64515300e-01	6.18348000e-03	2.83473800e-04
7.77253700e-01	6.63357100e-03	2.79108300e-04
7.89992000e-01	6.31225500e-03	2.77325900e-04
8.02730200e-01	5.38316800e-03	2.65597600e-04
8.15468100e-01	5.21625500e-03	2.69305000e-04
8.28205900e-01	5.30160200e-03	2.62015900e-04
8.40943500e-01	5.58324000e-03	2.60874900e-04
8.53680900e-01	4.99964400e-03	2.62280700e-04
8.66418100e-01	4.70265400e-03	2.52113700e-04
8.79155100e-01	4.97994500e-03	2.54754300e-04
8.91892000e-01	4.39196900e-03	2.44123000e-04
9.17365000e-01	4.23971774e-03	2.44540274e-04
9.30101300e-01	4.30526744e-03	2.43831004e-04
9.42837300e-01	3.98605287e-03	2.38057060e-04
9.55573100e-01	3.89307679e-03	2.36439454e-04
9.68308700e-01	3.82141873e-03	2.35522183e-04
9.81044100e-01	3.55531931e-03	2.31310672e-04
9.93779300e-01	3.85473764e-03	2.31101311e-04
1.00651400e+00	3.41098701e-03	2.33052467e-04
1.01320100e+00	3.41819041e-03	2.77261861e-05
1.01836200e+00	3.44239252e-03	2.78895583e-05
1.02352400e+00	3.37250458e-03	2.80220196e-05
1.02868600e+00	3.34712628e-03	2.76540409e-05
1.03384800e+00	3.32998894e-03	2.77597642e-05
1.03900900e+00	3.24578216e-03	2.77393363e-05
1.04417100e+00	3.23250070e-03	2.75609461e-05
1.04933300e+00	3.24201042e-03	2.75969556e-05
1.05449500e+00	3.10261651e-03	2.76924735e-05
1.05965600e+00	3.10212265e-03	2.74920484e-05
1.06481800e+00	3.10742648e-03	2.75584389e-05
1.06998000e+00	2.97710479e-03	2.76713473e-05
1.07514200e+00	3.00537732e-03	2.73180248e-05
1.08030300e+00	2.97173701e-03	2.74697192e-05
1.08546500e+00	2.96749327e-03	2.75928667e-05
1.09062700e+00	2.91441455e-03	2.72433471e-05
1.09578900e+00	2.83974105e-03	2.73292231e-05
1.10095000e+00	2.88850031e-03	2.74959523e-05
1.10611200e+00	2.87257030e-03	2.71806670e-05
1.11127400e+00	2.79983441e-03	2.76207320e-05
1.11643600e+00	2.77808819e-03	2.79655401e-05
1.12159800e+00	2.75345952e-03	2.80413957e-05
1.12675900e+00	2.67743903e-03	2.82442859e-05
1.13192100e+00	2.67825766e-03	2.84642637e-05
1.13708300e+00	2.58575270e-03	2.83255849e-05
1.14224500e+00	2.61688749e-03	2.82812545e-05
1.14740600e+00	2.64390473e-03	2.85019223e-05
1.15256800e+00	2.53331509e-03	2.84153564e-05
1.15773000e+00	2.53293059e-03	2.85592094e-05
1.16289200e+00	2.49634053e-03	2.84037795e-05
1.16805300e+00	2.50700794e-03	2.83327195e-05
1.17321500e+00	2.42739574e-03	2.84235847e-05
1.17837700e+00	2.42016103e-03	2.78875980e-05
1.18353900e+00	2.36520779e-03	2.74784776e-05
1.18870000e+00	2.36559986e-03	2.78841906e-05
1.19386200e+00	2.32488300e-03	2.78088902e-05
1.19902400e+00	2.30255962e-03	2.75120808e-05
1.20418600e+00	2.27900955e-03	2.79676182e-05
1.20934700e+00	2.23855352e-03	2.78129287e-05
1.21450900e+00	2.25270240e-03	2.76077753e-05
1.21967100e+00	2.24728920e-03	2.77999047e-05
1.22483300e+00	2.19134822e-03	2.76683353e-05
1.22999500e+00	2.17512795e-03	2.74158731e-05
1.23515600e+00	2.16593037e-03	2.78583949e-05
1.24031800e+00	2.10103750e-03	2.76116455e-05
1.24548000e+00	2.10885442e-03	2.75167755e-05
1.25064200e+00	2.08615328e-03	2.76100470e-05
1.25580300e+00	2.04309412e-03	2.75455916e-05
1.26096500e+00	2.03207504e-03	2.74284008e-05
1.26612700e+00	1.96835499e-03	2.76095422e-05
1.27128900e+00	1.96762387e-03	2.73967410e-05
1.27645000e+00	1.92111268e-03	2.72670562e-05
1.28161200e+00	1.95522498e-03	2.74493082e-05
1.28677400e+00	1.91410344e-03	2.72884011e-05
1.29193600e+00	1.91323601e-03	2.78221835e-05
1.29709700e+00	1.88772898e-03	2.80312996e-05
1.30225900e+00	1.89451863e-03	2.79759728e-05
1.30742100e+00	1.83641204e-03	2.82755839e-05
1.31258300e+00	1.79472511e-03	2.84408912e-05
1.31774400e+00	1.82302036e-03	2.83467027e-05
1.32290600e+00	1.81286281e-03	2.85566349e-05
1.32806800e+00	1.72565328e-03	2.89409104e-05
1.33323000e+00	1.74398617e-03	2.86986370e-05
1.33839100e+00	1.72693549e-03	2.90877586e-05
1.34355300e+00	1.67573549e-03	2.89864776e-05
1.34871500e+00	1.66573191e-03	2.89615570e-05
1.35387700e+00	1.63861370e-03	2.90458934e-05
1.35903800e+00	1.66877673e-03	2.86415097e-05
1.36420000e+00	1.58064677e-03	2.83655320e-05
1.36936200e+00	1.61003576e-03	2.80296590e-05
1.37452400e+00	1.61233263e-03	2.81932331e-05
1.37968600e+00	1.56254020e-03	2.81327573e-05
1.38484700e+00	1.58197778e-03	2.78421991e-05
1.39000900e+00	1.50117761e-03	2.79434969e-05
1.39517100e+00	1.51755353e-03	2.75749797e-05
1.40033300e+00	1.51862119e-03	2.76855071e-05
1.40549400e+00	1.53239652e-03	2.76621178e-05
1.41065600e+00	1.45844658e-03	2.75151265e-05
1.41581800e+00	1.47808860e-03	2.73357015e-05
1.42098000e+00	1.40150608e-03	2.75742225e-05
1.42614100e+00	1.42669593e-03	2.74086123e-05
1.43130300e+00	1.39338459e-03	2.72774468e-05
1.43646500e+00	1.39336860e-03	2.73676809e-05
1.44162700e+00	1.40688480e-03	2.71912174e-05
1.44678800e+00	1.38547427e-03	2.70859316e-05
1.45195000e+00	1.30424754e-03	2.72626644e-05
1.45711200e+00	1.32529965e-03	2.69353562e-05
1.46227400e+00	1.32349245e-03	2.68772614e-05
1.46743500e+00	1.30606568e-03	2.69571386e-05
1.47259700e+00	1.30872097e-03	2.70439149e-05
1.47775900e+00	1.26605388e-03	2.67062246e-05
1.48292100e+00	1.25747553e-03	2.68631521e-05
1.48808300e+00	1.24182569e-03	2.67226224e-05
1.49324400e+00	1.24711775e-03	2.66670179e-05
1.49840600e+00	1.24122161e-03	2.68383577e-05
1.50356800e+00	1.21967478e-03	2.65916251e-05
1.50873000e+00	1.17555217e-03	2.65299714e-05
1.51389100e+00	1.11305376e-03	2.66830876e-05
1.51905300e+00	1.15594044e-03	2.66369315e-05
1.52421500e+00	1.14810920e-03	2.65421625e-05
1.52937700e+00	1.16662719e-03	2.65816299e-05
1.53453800e+00	1.12343931e-03	2.65473115e-05
1.53970000e+00	1.10010379e-03	2.63103637e-05
1.54486200e+00	1.09406883e-03	2.65168464e-05
1.55002400e+00	1.07779218e-03	2.63766112e-05
1.55518500e+00	1.08775790e-03	2.62573001e-05
1.56034700e+00	1.06798043e-03	2.64862804e-05
1.56550900e+00	1.04202748e-03	2.63587326e-05
1.57067100e+00	1.04284274e-03	2.60966623e-05
1.57583200e+00	1.06375604e-03	2.63026318e-05
1.58099400e+00	1.00321627e-03	2.62129781e-05
1.58615600e+00	9.87301408e-04	2.60774208e-05
