q[nm-1]	merged(TipAS_1.96mgml-1_30deg_sub_ave_cm-1_divconc_nm-1.dat_00001_[493]TipAS_NaP_30deg_1-2_ave_sub_cm-1_divconc.dat_00001_[TipAS_NaP_30deg_1-2_ave_sub.dat],scale_high,lq=0.9025,hq=0.9995)	error
1.14692100e-01	1.53735000e-02	2.33286500e-03
1.27435600e-01	2.12269700e-02	1.69343200e-03
1.40179000e-01	1.87464100e-02	1.58178500e-03
1.52922400e-01	1.46544200e-02	1.35215700e-03
1.65665800e-01	1.66742400e-02	1.22425700e-03
1.78409200e-01	1.56789600e-02	1.21146900e-03
1.91152500e-01	1.74889600e-02	1.05012100e-03
2.03895700e-01	1.52342400e-02	1.05777500e-03
2.16639000e-01	1.80431500e-02	9.35829600e-04
2.29382100e-01	1.72139700e-02	9.16306600e-04
2.42125300e-01	1.46700400e-02	8.41092900e-04
2.54868300e-01	1.50962400e-02	7.82744400e-04
2.67611300e-01	1.61169000e-02	7.53066300e-04
2.80354300e-01	1.47033600e-02	6.84891300e-04
2.93097200e-01	1.41518000e-02	6.72482100e-04
3.05840000e-01	1.45004800e-02	6.17699000e-04
3.18582800e-01	1.41745200e-02	5.94381100e-04
3.31325500e-01	1.35776400e-02	5.64341800e-04
3.44068100e-01	1.27553500e-02	5.24435700e-04
3.56810600e-01	1.33557700e-02	5.28925500e-04
3.69553100e-01	1.40997200e-02	5.02071800e-04
3.82295500e-01	1.28112400e-02	4.87482800e-04
3.95037800e-01	1.14380700e-02	4.66151400e-04
4.07780000e-01	1.27729400e-02	4.54611900e-04
4.20522100e-01	1.19930200e-02	4.53726000e-04
4.33264100e-01	1.15927200e-02	4.23289000e-04
4.46006100e-01	1.16045100e-02	4.39951600e-04
4.58747900e-01	1.04521100e-02	4.10195300e-04
4.71489600e-01	1.07525500e-02	4.07954700e-04
4.84231300e-01	1.03195300e-02	4.07716700e-04
4.96972800e-01	9.66937800e-03	3.85328300e-04
5.09714200e-01	1.04958800e-02	3.94304200e-04
5.22455500e-01	9.17703600e-03	3.67764400e-04
5.35196700e-01	1.02618900e-02	3.78617100e-04
5.47937800e-01	9.76125500e-03	3.66891500e-04
5.60678700e-01	9.26804600e-03	3.54654600e-04
5.73419600e-01	8.63703100e-03	3.52530200e-04
5.86160300e-01	8.77701500e-03	3.43232000e-04
5.98900800e-01	8.28207700e-03	3.40813600e-04
6.11641300e-01	7.81338800e-03	3.37430800e-04
6.24381600e-01	8.11647400e-03	3.21123600e-04
6.37121700e-01	7.84981100e-03	3.33243500e-04
6.49861800e-01	8.38910200e-03	3.15887400e-04
6.62601700e-01	6.21116300e-03	3.12624400e-04
6.75341400e-01	7.56674000e-03	3.08600800e-04
6.88081000e-01	7.04616300e-03	3.08297900e-04
7.00820400e-01	6.83338300e-03	3.05135000e-04
7.13559700e-01	6.63856600e-03	2.90432300e-04
7.26298800e-01	7.16549000e-03	2.98546100e-04
7.39037800e-01	6.35050000e-03	2.86788800e-04
7.51776600e-01	6.88742900e-03	2.91380500e-04
7.64515300e-01	6.35718900e-03	2.84705500e-04
7.77253700e-01	6.46111700e-03	2.77742700e-04
7.89992000e-01	5.85219900e-03	2.73793900e-04
8.02730200e-01	5.57213800e-03	2.66938800e-04
8.15468100e-01	5.33066800e-03	2.70098000e-04
8.28205900e-01	5.82996900e-03	2.65904300e-04
8.40943500e-01	5.84672400e-03	2.62760600e-04
8.53680900e-01	5.00406100e-03	2.62252900e-04
8.66418100e-01	4.44572200e-03	2.50206800e-04
8.79155100e-01	5.15874500e-03	2.56014200e-04
8.91892000e-01	4.89807200e-03	2.47684300e-04
9.17365000e-01	4.77971661e-03	2.50365446e-04
9.30101300e-01	4.42534372e-03	2.43963626e-04
9.42837300e-01	4.25907522e-03	2.39859885e-04
9.55573100e-01	4.21043876e-03	2.39111218e-04
9.68308700e-01	4.21979803e-03	2.39631997e-04
9.81044100e-01	3.74229561e-03	2.32172980e-04
9.93779300e-01	4.09344635e-03	2.32781146e-04
1.00803900e+00	3.73988990e-03	3.13556733e-05
1.01320100e+00	3.74681163e-03	3.14144305e-05
1.01836200e+00	3.68740979e-03	3.15680444e-05
1.02352400e+00	3.67233266e-03	3.17507257e-05
1.02868600e+00	3.64591842e-03	3.13612843e-05
1.03384800e+00	3.58805308e-03	3.14601821e-05
1.03900900e+00	3.49620986e-03	3.13837374e-05
1.04417100e+00	3.44154853e-03	3.11506783e-05
1.04933300e+00	3.44680834e-03	3.12115256e-05
1.05449500e+00	3.44344734e-03	3.13916987e-05
1.05965600e+00	3.33375681e-03	3.11422525e-05
1.06481800e+00	3.36524042e-03	3.11918779e-05
1.06998000e+00	3.34735131e-03	3.13693199e-05
1.07514200e+00	3.26902734e-03	3.09152595e-05
1.08030300e+00	3.19835991e-03	3.10711123e-05
1.08546500e+00	3.10875271e-03	3.11925932e-05
1.09062700e+00	3.15676264e-03	3.08481602e-05
1.09578900e+00	3.09963583e-03	3.09611690e-05
1.10095000e+00	3.08095059e-03	3.11122469e-05
1.10611200e+00	3.08866473e-03	3.07060098e-05
1.11127400e+00	2.95026820e-03	3.12284885e-05
1.11643600e+00	2.94589556e-03	3.16216365e-05
1.12159800e+00	2.87310730e-03	3.16992424e-05
1.12675900e+00	2.92220040e-03	3.19543924e-05
1.13192100e+00	2.85476485e-03	3.22041172e-05
1.13708300e+00	2.84997417e-03	3.20891854e-05
1.14224500e+00	2.88611469e-03	3.20139763e-05
1.14740600e+00	2.77232184e-03	3.22335283e-05
1.15256800e+00	2.74349508e-03	3.21914740e-05
1.15773000e+00	2.69282738e-03	3.22159801e-05
1.16289200e+00	2.67144442e-03	3.20737460e-05
1.16805300e+00	2.65283071e-03	3.20036555e-05
1.17321500e+00	2.59917731e-03	3.21239753e-05
1.17837700e+00	2.64010666e-03	3.15556892e-05
1.18353900e+00	2.55157427e-03	3.10842386e-05
1.18870000e+00	2.58109590e-03	3.15472449e-05
1.19386200e+00	2.45883181e-03	3.14499356e-05
1.19902400e+00	2.46002275e-03	3.11036075e-05
1.20418600e+00	2.39324490e-03	3.16355246e-05
1.20934700e+00	2.42701470e-03	3.14207475e-05
1.21450900e+00	2.43520354e-03	3.12382148e-05
1.21967100e+00	2.37414813e-03	3.14089031e-05
1.22483300e+00	2.27861877e-03	3.12690936e-05
1.22999500e+00	2.28968091e-03	3.09733571e-05
1.23515600e+00	2.22638483e-03	3.14597362e-05
1.24031800e+00	2.30759510e-03	3.12516198e-05
1.24548000e+00	2.23444826e-03	3.11237011e-05
1.25064200e+00	2.18086082e-03	3.11879670e-05
1.25580300e+00	2.24005829e-03	3.11320060e-05
1.26096500e+00	2.16797048e-03	3.09897719e-05
1.26612700e+00	2.10621091e-03	3.12261382e-05
1.27128900e+00	2.14213870e-03	3.09765156e-05
1.27645000e+00	2.05609316e-03	3.07895703e-05
1.28161200e+00	2.04537660e-03	3.09927353e-05
1.28677400e+00	2.10595266e-03	3.08836932e-05
1.29193600e+00	1.97495813e-03	3.14381377e-05
1.29709700e+00	2.03314768e-03	3.17378874e-05
1.30225900e+00	1.97766514e-03	3.16386366e-05
1.30742100e+00	1.92785116e-03	3.19323294e-05
1.31258300e+00	1.82050999e-03	3.21220987e-05
1.31774400e+00	1.91497754e-03	3.20746657e-05
1.32290600e+00	1.89416497e-03	3.22787411e-05
1.32806800e+00	1.88618050e-03	3.27467917e-05
1.33323000e+00	1.86445104e-03	3.24065762e-05
1.33839100e+00	1.74370209e-03	3.28384343e-05
1.34355300e+00	1.84130584e-03	3.28300457e-05
1.34871500e+00	1.77211640e-03	3.27162751e-05
1.35387700e+00	1.74885507e-03	3.28116521e-05
1.35903800e+00	1.71953317e-03	3.23475590e-05
1.36420000e+00	1.75763102e-03	3.20900494e-05
1.36936200e+00	1.70543052e-03	3.16228627e-05
1.37452400e+00	1.65352915e-03	3.18592197e-05
1.37968600e+00	1.69855803e-03	3.17641121e-05
1.38484700e+00	1.62248308e-03	3.14422345e-05
1.39000900e+00	1.61927629e-03	3.16081944e-05
1.39517100e+00	1.61795158e-03	3.11740603e-05
1.40033300e+00	1.60900564e-03	3.12943987e-05
1.40549400e+00	1.58064521e-03	3.12183256e-05
1.41065600e+00	1.58432763e-03	3.11009414e-05
1.41581800e+00	1.54531289e-03	3.08883195e-05
1.42098000e+00	1.61065827e-03	3.12374623e-05
1.42614100e+00	1.50669575e-03	3.09447263e-05
1.43130300e+00	1.52365961e-03	3.08234404e-05
1.43646500e+00	1.49398284e-03	3.09052638e-05
1.44162700e+00	1.40792986e-03	3.06846807e-05
1.44678800e+00	1.48534902e-03	3.06209164e-05
1.45195000e+00	1.47527345e-03	3.08166683e-05
1.45711200e+00	1.44516842e-03	3.04424247e-05
